2;"Poncho";"1";"2"

Bob			January 1
Poncho		January 2
Joey		January 3
Dierdre		January 4
Roald		January 5
Carmen		January 6
Harry		January 7
Pierce		January 8
TiffanyR	January 9
Okapi		January 10
Moe			January 12
Puddles		January 13
Velma		January 14
Gladys		January 15
Rizzo		January 17
Simon		January 19
Opal		January 20
Genji		January 21
Francine	January 22
Gwen		January 23
Rhonda		January 24
Savannah	January 25
Aurora		January 27
Margie		January 28
Cube		January 29
Flurry		January 30
Winnie		January 31

Bill		February 1
Jitters		February 2
Olivia		February 3
Lily		February 4
Penelope	February 5
Miyabi		February 6
Boomer		February 7
Frobert		February 8
Flora		February 9
Stitches	February 10
Pompom		February 11
Tatsuro		February 12
Ribbot		February 13
Frill		February 14
Kitty		February 15
Anabelle	February 16
Dora		February 18
Freckles	February 19
Frappe		February 20
Puck		February 21
Avery		February 22
Pate		February 23
Anicotti	February 24
Hamphrey	February 25
Sheldon		February 26
Rosie		February 27
Hanako		February 28

Coco		March 1	
Barold		March 2	
Mimyi		March 3	
Anchovy		March 4	
Gala		March 5	
Chevre		March 6	
Molly		March 7	
Takoya		March 8	
Cyrano		March 9	
Midge		March 12
Dotty		March 14
Julian		March 15
Doc			March 16
Cheri		March 17
Patti		March 19
Elise		March 21
Rachel		March 22
Axel		March 23
Riryi		March 24
TiffanyE	March 25
Doeraymi	March 26
Lolly		March 27
Baabara		March 28
Biff		March 29
Felicity	March 30
Kumarosu	March 31

Tammi		April 1	
Eunice		April 3	
Buck		April 4	
Martin		April 5	
Hopper		April 6	
Rasher		April 7	
Maelle		April 8	
Shari		April 10
Punchy		April 11
Melba		April 12
#4			April 14
Vesta		April 16
Charlise	April 17
Pietro		April 19
Agnes		April 21
Sparks		April 22
Miranda		April 23
Kanroku		April 24
Bertha		April 25
Kevin		April 26
Katt		April 27
Ava			April 28
Tetchan		April 
Angus		April 

Clyde		May 1
Mint		May 2
Sylvia		May 3
Deirdre		May 4
Tank		May 6
Ozzie		May 7
Curlos		May 8
Bunnie		May 9
Patty		May 10
Cherry		May 11
Biskit		May 13
Canberra	May 14
Leonardo	May 15
Gayle		May 17
Pekoe		May 18
Olaf		May 19
T-Bone		May 20
Anthony		May 22
Peggy		May 23
Delhi		May 24
Derwin		May 25
Bruce		May 26
